,Province,Crop,len
0,Abra,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coffee', 'Sweet Potato']",152
1,Apayao,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
2,Benguet,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Sweet Potato']",101
3,Ifugao,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Sweet Potato']",159
4,Kalinga,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
5,Mountain Province,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
6,Ilocos Norte,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
7,Ilocos Sur,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coffee', 'Sweet Potato']",141
8,La Union,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Sweet Potato']",114
9,Pangasinan,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coffee', 'Sweet Potato']",141
